,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
0,1,1,"['date', 'CHN10', 'INDU']",-9.8228,0.4693,0.1569,2.6892
1,1,2,"['date', 'CHN10', 'PPI']",-4.7144,0.3695,0.1268,2.5631
2,1,3,"['date', 'CHN10', 'PMI']",-0.5204,0.188,0.0645,2.6899
3,1,4,"['date', 'CHN10', 'OECD']",-3.1374,0.3277,0.1124,2.8274
4,1,5,"['date', 'CHN10', 'JIANZHU']",-1.9992,0.2477,0.0863,2.7038
5,1,6,"['date', 'CHN10', 'XINJIAN']",-2.2876,0.2616,0.0911,2.6822
6,1,7,"['date', 'CHN10', 'ERSHOU']",0.4877,0.1048,0.0356,2.7463
7,1,8,"['date', 'CHN10', 'SPOT']",-9.3291,0.4907,0.1695,2.8067
8,1,9,"['date', 'CHN10', 'IRBOND']",-0.3076,0.1559,0.0505,2.7818
9,2,1,"['date', 'CHN10', 'INDU', 'PPI']",-2.1279,0.2538,0.0884,2.6817
10,2,2,"['date', 'CHN10', 'INDU', 'PMI']",-3.8094,0.3302,0.1108,2.8612
11,2,3,"['date', 'CHN10', 'INDU', 'OECD']",-15.2644,0.5697,0.1897,2.7187
12,2,4,"['date', 'CHN10', 'INDU', 'JIANZHU']",-1.9787,0.2469,0.0861,2.8336
13,2,5,"['date', 'CHN10', 'INDU', 'XINJIAN']",-10.376,0.5263,0.1771,2.7706
14,2,6,"['date', 'CHN10', 'INDU', 'ERSHOU']",-5.7669,0.3584,0.1188,2.7103
15,2,7,"['date', 'CHN10', 'INDU', 'SPOT']",-3.734,0.3309,0.1145,2.8363
16,2,8,"['date', 'CHN10', 'INDU', 'IRBOND']",-0.3364,0.1502,0.0487,2.8802
17,2,9,"['date', 'CHN10', 'PPI', 'PMI']",-1.3215,0.2244,0.0765,2.8346
18,2,10,"['date', 'CHN10', 'PPI', 'OECD']",-11.114,0.5462,0.1879,2.8065
19,2,11,"['date', 'CHN10', 'PPI', 'JIANZHU']",-13.5742,0.587,0.2023,2.8269
20,2,12,"['date', 'CHN10', 'PPI', 'XINJIAN']",-2.8194,0.2912,0.0995,2.7282
21,2,13,"['date', 'CHN10', 'PPI', 'ERSHOU']",-11.503,0.5561,0.1911,2.8456
22,2,14,"['date', 'CHN10', 'PPI', 'SPOT']",-20.4917,0.7334,0.2515,2.7513
23,2,15,"['date', 'CHN10', 'PPI', 'IRBOND']",-0.3141,0.1557,0.0504,2.7137
24,2,16,"['date', 'CHN10', 'PMI', 'OECD']",-1.1067,0.2258,0.0772,2.76
25,2,17,"['date', 'CHN10', 'PMI', 'JIANZHU']",-0.4721,0.1875,0.0641,2.7759
26,2,18,"['date', 'CHN10', 'PMI', 'XINJIAN']",-1.1064,0.2219,0.0764,3.0001
27,2,19,"['date', 'CHN10', 'PMI', 'ERSHOU']",-0.812,0.2124,0.0727,2.8025
28,2,20,"['date', 'CHN10', 'PMI', 'SPOT']",-4.1818,0.3696,0.1258,3.3197
29,2,21,"['date', 'CHN10', 'PMI', 'IRBOND']",-0.0152,0.1586,0.0535,3.1087
30,2,22,"['date', 'CHN10', 'OECD', 'JIANZHU']",-3.0064,0.2955,0.1026,2.7846
31,2,23,"['date', 'CHN10', 'OECD', 'XINJIAN']",-6.38,0.4421,0.1513,3.3599
32,2,24,"['date', 'CHN10', 'OECD', 'ERSHOU']",-1.809,0.2665,0.0907,3.2308
33,2,25,"['date', 'CHN10', 'OECD', 'SPOT']",-6.6291,0.448,0.1534,3.3305
34,2,26,"['date', 'CHN10', 'OECD', 'IRBOND']",-0.7901,0.1745,0.0561,3.2684
35,2,27,"['date', 'CHN10', 'JIANZHU', 'XINJIAN']",-2.8413,0.2748,0.0959,3.3508
36,2,28,"['date', 'CHN10', 'JIANZHU', 'ERSHOU']",0.4659,0.1064,0.0359,3.2823
37,2,29,"['date', 'CHN10', 'JIANZHU', 'SPOT']",-3.5721,0.3237,0.112,3.298
38,2,30,"['date', 'CHN10', 'JIANZHU', 'IRBOND']",-0.1715,0.1557,0.051,3.2498
39,2,31,"['date', 'CHN10', 'XINJIAN', 'ERSHOU']",-1.644,0.2323,0.081,3.3223
40,2,32,"['date', 'CHN10', 'XINJIAN', 'SPOT']",-13.4904,0.6116,0.2098,3.412
41,2,33,"['date', 'CHN10', 'XINJIAN', 'IRBOND']",-0.8638,0.1794,0.0576,2.7452
42,2,34,"['date', 'CHN10', 'ERSHOU', 'SPOT']",-10.6604,0.5555,0.1895,2.8103
43,2,35,"['date', 'CHN10', 'ERSHOU', 'IRBOND']",-1.1308,0.2029,0.0655,2.7464
44,2,36,"['date', 'CHN10', 'SPOT', 'IRBOND']",-1.0087,0.1869,0.06,2.7607
45,3,1,"['date', 'CHN10', 'INDU', 'PPI', 'PMI']",-11.3199,0.5787,0.1964,2.7879
46,3,2,"['date', 'CHN10', 'INDU', 'PPI', 'OECD']",-11.2261,0.5715,0.1954,2.8016
47,3,3,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU']",-17.5598,0.6911,0.233,2.8999
48,3,4,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN']",-13.4245,0.62,0.212,2.8611
49,3,5,"['date', 'CHN10', 'INDU', 'PPI', 'ERSHOU']",-11.481,0.5657,0.1936,2.8525
50,3,6,"['date', 'CHN10', 'INDU', 'PPI', 'SPOT']",-26.5903,0.8615,0.2941,2.761
51,3,7,"['date', 'CHN10', 'INDU', 'PPI', 'IRBOND']",-1.3189,0.2049,0.0659,2.7712
52,3,8,"['date', 'CHN10', 'INDU', 'PMI', 'OECD']",-4.6378,0.2856,0.0947,2.7371
53,3,9,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU']",-8.071,0.3927,0.1288,2.8058
54,3,10,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN']",-8.2541,0.3999,0.1314,2.7942
55,3,11,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU']",-3.7189,0.3217,0.1086,2.7615
56,3,12,"['date', 'CHN10', 'INDU', 'PMI', 'SPOT']",-2.834,0.3084,0.1041,2.9043
57,3,13,"['date', 'CHN10', 'INDU', 'PMI', 'IRBOND']",-3.1565,0.3192,0.1062,2.7228
58,3,14,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU']",-5.2114,0.4019,0.1357,2.7974
59,3,15,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN']",-7.7704,0.4907,0.1655,2.7612
60,3,16,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU']",-4.5988,0.3828,0.1311,2.7828
61,3,17,"['date', 'CHN10', 'INDU', 'OECD', 'SPOT']",-8.5451,0.5076,0.1726,3.3531
62,3,18,"['date', 'CHN10', 'INDU', 'OECD', 'IRBOND']",-1.8193,0.2038,0.0691,3.3631
63,3,19,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN']",-14.96,0.4872,0.1607,3.4568
64,3,20,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU']",-17.8189,0.6623,0.2255,3.2478
65,3,21,"['date', 'CHN10', 'INDU', 'JIANZHU', 'SPOT']",-9.0121,0.5001,0.1689,3.2499
66,3,22,"['date', 'CHN10', 'INDU', 'JIANZHU', 'IRBOND']",0.2285,0.122,0.0407,3.3109
67,3,23,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU']",-11.0398,0.5043,0.1728,3.2374
68,3,24,"['date', 'CHN10', 'INDU', 'XINJIAN', 'SPOT']",-12.7411,0.6109,0.2082,3.3293
69,3,25,"['date', 'CHN10', 'INDU', 'XINJIAN', 'IRBOND']",-0.8789,0.1754,0.0563,3.2936
70,3,26,"['date', 'CHN10', 'INDU', 'ERSHOU', 'SPOT']",-4.174,0.3487,0.1205,3.2252
71,3,27,"['date', 'CHN10', 'INDU', 'ERSHOU', 'IRBOND']",-0.1181,0.1508,0.0494,3.3502
72,3,28,"['date', 'CHN10', 'INDU', 'SPOT', 'IRBOND']",0.0398,0.1546,0.0521,2.8003
73,3,29,"['date', 'CHN10', 'PPI', 'PMI', 'OECD']",-13.321,0.6252,0.2128,2.8091
74,3,30,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU']",-12.4243,0.5674,0.1954,2.8083
75,3,31,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN']",-9.5213,0.5218,0.1786,2.7465
76,3,32,"['date', 'CHN10', 'PPI', 'PMI', 'ERSHOU']",-18.1403,0.6775,0.2331,2.7638
77,3,33,"['date', 'CHN10', 'PPI', 'PMI', 'SPOT']",-11.1948,0.5514,0.1894,3.2252
78,3,34,"['date', 'CHN10', 'PPI', 'PMI', 'IRBOND']",-20.5229,0.7681,0.2617,2.8471
79,3,35,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU']",-11.2443,0.5053,0.1758,2.762
80,3,36,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN']",-11.9556,0.582,0.1988,2.7833
81,3,37,"['date', 'CHN10', 'PPI', 'OECD', 'ERSHOU']",-11.5167,0.56,0.1924,2.875
82,3,38,"['date', 'CHN10', 'PPI', 'OECD', 'SPOT']",-23.7708,0.7833,0.269,2.7853
83,3,39,"['date', 'CHN10', 'PPI', 'OECD', 'IRBOND']",-1.5827,0.2213,0.0714,2.69
84,3,40,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN']",-21.3618,0.7194,0.2483,2.8229
85,3,41,"['date', 'CHN10', 'PPI', 'JIANZHU', 'ERSHOU']",-3.8341,0.3475,0.119,2.8064
86,3,42,"['date', 'CHN10', 'PPI', 'JIANZHU', 'SPOT']",-17.1651,0.6762,0.232,2.8221
87,3,43,"['date', 'CHN10', 'PPI', 'JIANZHU', 'IRBOND']",-7.1317,0.4569,0.1568,2.7383
88,3,44,"['date', 'CHN10', 'PPI', 'XINJIAN', 'ERSHOU']",-12.0431,0.5729,0.1967,2.8903
89,3,45,"['date', 'CHN10', 'PPI', 'XINJIAN', 'SPOT']",-28.018,0.8731,0.2988,2.9062
90,3,46,"['date', 'CHN10', 'PPI', 'XINJIAN', 'IRBOND']",-0.6146,0.1656,0.0533,2.7734
91,3,47,"['date', 'CHN10', 'PPI', 'ERSHOU', 'SPOT']",-24.1786,0.7842,0.2697,3.4268
92,3,48,"['date', 'CHN10', 'PPI', 'ERSHOU', 'IRBOND']",-11.1561,0.5323,0.1837,3.3297
93,3,49,"['date', 'CHN10', 'PPI', 'SPOT', 'IRBOND']",-1.5313,0.2392,0.0826,3.3207
94,3,50,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU']",-4.679,0.3704,0.1278,3.2814
95,3,51,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN']",-6.4182,0.4388,0.1502,3.3902
96,3,52,"['date', 'CHN10', 'PMI', 'OECD', 'ERSHOU']",0.0839,0.1341,0.0448,3.3336
97,3,53,"['date', 'CHN10', 'PMI', 'OECD', 'SPOT']",-4.5281,0.366,0.1214,3.2397
98,3,54,"['date', 'CHN10', 'PMI', 'OECD', 'IRBOND']",-0.8102,0.1757,0.0565,3.3915
99,3,55,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN']",-1.2141,0.2344,0.0802,3.3107
100,3,56,"['date', 'CHN10', 'PMI', 'JIANZHU', 'ERSHOU']",-0.1728,0.1627,0.0549,3.225
101,3,57,"['date', 'CHN10', 'PMI', 'JIANZHU', 'SPOT']",-7.3848,0.4506,0.1541,2.8149
102,3,58,"['date', 'CHN10', 'PMI', 'JIANZHU', 'IRBOND']",-0.1582,0.1505,0.0491,2.9597
103,3,59,"['date', 'CHN10', 'PMI', 'XINJIAN', 'ERSHOU']",-1.0312,0.2056,0.0689,2.8049
104,3,60,"['date', 'CHN10', 'PMI', 'XINJIAN', 'SPOT']",-4.8236,0.377,0.1268,2.7304
105,3,61,"['date', 'CHN10', 'PMI', 'XINJIAN', 'IRBOND']",-2.4247,0.2963,0.0985,2.765
106,3,62,"['date', 'CHN10', 'PMI', 'ERSHOU', 'SPOT']",-10.5416,0.556,0.1897,2.705
107,3,63,"['date', 'CHN10', 'PMI', 'ERSHOU', 'IRBOND']",-0.7968,0.1742,0.056,2.9069
108,3,64,"['date', 'CHN10', 'PMI', 'SPOT', 'IRBOND']",-1.4694,0.2009,0.0645,2.9822
109,3,65,"['date', 'CHN10', 'OECD', 'JIANZHU', 'XINJIAN']",-5.9535,0.4429,0.1493,2.9143
110,3,66,"['date', 'CHN10', 'OECD', 'JIANZHU', 'ERSHOU']",-3.8459,0.3689,0.1248,2.7538
111,3,67,"['date', 'CHN10', 'OECD', 'JIANZHU', 'SPOT']",-11.1913,0.5607,0.1921,2.9464
112,3,68,"['date', 'CHN10', 'OECD', 'JIANZHU', 'IRBOND']",-8.1649,0.5002,0.166,2.9464
113,3,69,"['date', 'CHN10', 'OECD', 'XINJIAN', 'ERSHOU']",-1.6503,0.2661,0.0903,2.744
114,3,70,"['date', 'CHN10', 'OECD', 'XINJIAN', 'SPOT']",-7.2445,0.4146,0.1363,2.6635
115,3,71,"['date', 'CHN10', 'OECD', 'XINJIAN', 'IRBOND']",-0.2284,0.1482,0.0479,2.7621
116,3,72,"['date', 'CHN10', 'OECD', 'ERSHOU', 'SPOT']",-12.0026,0.6007,0.2043,2.8162
117,3,73,"['date', 'CHN10', 'OECD', 'ERSHOU', 'IRBOND']",-1.5121,0.2263,0.0733,2.7759
118,3,74,"['date', 'CHN10', 'OECD', 'SPOT', 'IRBOND']",0.1392,0.1279,0.0416,2.7351
119,3,75,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'ERSHOU']",-2.5434,0.2738,0.0953,2.8235
120,3,76,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'SPOT']",-19.5186,0.7281,0.2495,2.8052
121,3,77,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'IRBOND']",-0.2499,0.1482,0.0478,3.2846
122,3,78,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'SPOT']",-5.6186,0.4003,0.138,3.3179
123,3,79,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'IRBOND']",-4.3163,0.3804,0.1262,3.2824
124,3,80,"['date', 'CHN10', 'JIANZHU', 'SPOT', 'IRBOND']",-0.6348,0.1956,0.0669,3.29
125,3,81,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'SPOT']",-24.2875,0.7569,0.2618,3.3266
126,3,82,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'IRBOND']",0.3323,0.1182,0.0388,3.4061
127,3,83,"['date', 'CHN10', 'XINJIAN', 'SPOT', 'IRBOND']",-0.3761,0.1586,0.0513,3.2972
128,3,84,"['date', 'CHN10', 'ERSHOU', 'SPOT', 'IRBOND']",-0.5928,0.1646,0.0529,3.2055
129,4,1,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD']",-1.2459,0.2316,0.0794,3.3514
130,4,2,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU']",-15.2464,0.6498,0.2224,3.2602
131,4,3,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'XINJIAN']",-12.2977,0.606,0.205,2.93
132,4,4,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'ERSHOU']",-28.6863,0.8786,0.3,2.7048
133,4,5,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'SPOT']",-45.821,1.1395,0.3868,2.8044
134,4,6,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'IRBOND']",0.0999,0.1375,0.045,2.7714
135,4,7,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'JIANZHU']",-17.6985,0.7118,0.2423,2.7474
136,4,8,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'XINJIAN']",-26.3332,0.8159,0.2806,3.384
137,4,9,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'ERSHOU']",-56.5596,1.1153,0.3867,3.3072
138,4,10,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'SPOT']",-16.8185,0.6721,0.2305,3.2615
139,4,11,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'IRBOND']",-3.329,0.3391,0.1148,3.3513
140,4,12,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'XINJIAN']",-5.5875,0.4048,0.1393,3.3373
141,4,13,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'ERSHOU']",-11.9121,0.5857,0.2004,3.3653
142,4,14,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'SPOT']",-19.5817,0.7473,0.2549,3.2693
143,4,15,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'IRBOND']",-14.3803,0.6215,0.2106,3.3426
144,4,16,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN', 'ERSHOU']",-13.7352,0.6273,0.2135,3.3527
145,4,17,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN', 'SPOT']",-12.0591,0.5857,0.2004,3.7336
146,4,18,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN', 'IRBOND']",-0.5564,0.1633,0.0526,3.6995
147,4,19,"['date', 'CHN10', 'INDU', 'PPI', 'ERSHOU', 'SPOT']",-20.7131,0.7793,0.2642,2.8278
148,4,20,"['date', 'CHN10', 'INDU', 'PPI', 'ERSHOU', 'IRBOND']",-6.4997,0.4222,0.1456,2.7731
149,4,21,"['date', 'CHN10', 'INDU', 'PPI', 'SPOT', 'IRBOND']",-0.0981,0.1494,0.0517,2.8976
150,4,22,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'JIANZHU']",-4.3836,0.3575,0.1226,2.805
151,4,23,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'XINJIAN']",-2.9042,0.3085,0.1055,3.3497
152,4,24,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'ERSHOU']",-7.6258,0.4041,0.1349,3.3899
153,4,25,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'SPOT']",-3.1511,0.3053,0.1032,3.3153
154,4,26,"['date', 'CHN10', 'INDU', 'PMI', 'OECD', 'IRBOND']",-0.2856,0.1532,0.0497,3.2615
155,4,27,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'XINJIAN']",-6.519,0.4382,0.1495,3.2228
156,4,28,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'ERSHOU']",-1.8626,0.2465,0.0815,3.2074
157,4,29,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'SPOT']",-5.8799,0.4083,0.1387,3.4444
158,4,30,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU', 'IRBOND']",-1.1798,0.2133,0.0723,3.2904
159,4,31,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'ERSHOU']",-5.9417,0.3926,0.1302,3.3078
160,4,32,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'SPOT']",-2.8066,0.2539,0.082,3.3197
161,4,33,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN', 'IRBOND']",0.2292,0.1191,0.0392,3.3003
162,4,34,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU', 'SPOT']",-7.4891,0.4818,0.1632,2.6889
163,4,35,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU', 'IRBOND']",0.2504,0.1299,0.0438,2.9711
164,4,36,"['date', 'CHN10', 'INDU', 'PMI', 'SPOT', 'IRBOND']",0.0772,0.1446,0.0482,2.7368
165,4,37,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'XINJIAN']",-10.4341,0.5536,0.189,2.7642
166,4,38,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'ERSHOU']",-3.396,0.3182,0.1088,3.3917
167,4,39,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'SPOT']",-14.6552,0.6485,0.2196,3.3777
168,4,40,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU', 'IRBOND']",-0.1908,0.161,0.053,3.3664
169,4,41,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'ERSHOU']",-6.7214,0.4453,0.1493,3.3061
170,4,42,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'SPOT']",-18.5808,0.7143,0.2439,3.3627
171,4,43,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN', 'IRBOND']",-2.4703,0.3028,0.1008,3.3058
172,4,44,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU', 'SPOT']",-11.4027,0.5782,0.1929,3.3554
173,4,45,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU', 'IRBOND']",-0.7763,0.1684,0.0543,3.2799
174,4,46,"['date', 'CHN10', 'INDU', 'OECD', 'SPOT', 'IRBOND']",-4.9196,0.3467,0.1127,3.3489
175,4,47,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'ERSHOU']",-2.2304,0.2625,0.0912,3.6151
176,4,48,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'SPOT']",-23.7119,0.8229,0.2792,2.8
177,4,49,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN', 'IRBOND']",-0.6086,0.1657,0.0533,2.7864
178,4,50,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU', 'SPOT']",-14.4166,0.6393,0.2179,2.7615
179,4,51,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU', 'IRBOND']",-0.3253,0.1806,0.0606,2.9697
180,4,52,"['date', 'CHN10', 'INDU', 'JIANZHU', 'SPOT', 'IRBOND']",-0.2989,0.1557,0.0505,2.9072
181,4,53,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU', 'SPOT']",-35.6684,0.587,0.1883,3.5647
182,4,54,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU', 'IRBOND']",-0.3875,0.1563,0.0505,3.55
183,4,55,"['date', 'CHN10', 'INDU', 'XINJIAN', 'SPOT', 'IRBOND']",-0.8593,0.1795,0.0577,3.5127
184,4,56,"['date', 'CHN10', 'INDU', 'ERSHOU', 'SPOT', 'IRBOND']",-0.3381,0.1549,0.05,3.2589
185,4,57,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'JIANZHU']",-6.6273,0.4344,0.1492,3.3192
186,4,58,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'XINJIAN']",-15.6681,0.6292,0.2168,3.2625
187,4,59,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'ERSHOU']",-13.1477,0.6227,0.2122,3.4539
188,4,60,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'SPOT']",-17.9704,0.6762,0.2325,3.6948
189,4,61,"['date', 'CHN10', 'PPI', 'PMI', 'OECD', 'IRBOND']",-0.0517,0.1502,0.0495,3.2614
190,4,62,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'XINJIAN']",-3.8044,0.3499,0.1192,3.3381
191,4,63,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'ERSHOU']",-27.7283,0.8252,0.2844,3.2922
192,4,64,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'SPOT']",-19.7373,0.7256,0.2485,2.7205
193,4,65,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU', 'IRBOND']",-0.007,0.1525,0.0506,2.7751
194,4,66,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'ERSHOU']",-8.1184,0.4762,0.1634,2.6916
195,4,67,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'SPOT']",-38.7996,1.0095,0.3444,2.808
196,4,68,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN', 'IRBOND']",-0.1266,0.1517,0.0496,3.2412
